,movie,chapter,character,dialog,Unnamed: 0,gender,releaseYear,processed_tokens,processed_text,preprocessed_tokens,preprocessed_text
7445,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,narcissa!,0.0,female,2009,"['narcissa', '!']",narcissa !,"['narcissa', '!']",narcissa !
7446,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,cissy! you mustn't do this  he can't be trusted,1.0,female,2009,"['cissy', '!', 'must', 'not', 'not', 'trust']",cissy ! must not not trust,"['cissy', '!', 'must', 'trust']",cissy ! must trust
7447,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,the dark lord trusts him,2.0,female,2009,"['dark', 'lord', 'trust']",dark lord trust,"['dark', 'lord', 'trust']",dark lord trust
7448,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,the dark lord is mistaken,3.0,female,2009,"['dark', 'lord', 'mistaken']",dark lord mistaken,"['dark', 'lord', 'mistaken']",dark lord mistaken
7449,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,or so i believe,4.0,female,2009,"['I', 'believe']",I believe,['believe'],believe
7450,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,well who can one trust these days,5.0,female,2009,"['well', 'one', 'trust', 'day']",well one trust day,"['trust', 'day']",trust day
7451,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,he lives in this muggle dunghill,6.0,female,2009,"['live', 'muggle', 'dunghill']",live muggle dunghill,"['live', 'muggle', 'dunghill']",live muggle dunghill
7452,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,run along wormtail,7.0,male,2009,"['run', 'along', 'wormtail']",run along wormtail,"['run', 'along', 'wormtail']",run along wormtail
7453,Harry Potter and the Half-Blood Prince,Snape's Visitors,narcissa malfoy,i've nowhere else to turn severus,8.0,female,2009,"['I', 'nowhere', 'else', 'turn', 'severus']",I nowhere else turn severus,"['nowhere', 'else', 'turn', 'severus']",nowhere else turn severus
7454,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,you must be joking,9.0,female,2009,"['must', 'joke']",must joke,"['must', 'joke']",must joke
